locus_tag	GOterm
sll0455	GO:0005488
sll0455	GO:0003824
sll0455	GO:0004412
sll0455	GO:0016491
sll0455	GO:0009086
sll0455	GO:0009088
sll0455	GO:0009097
sll0456	GO:0044237
sll0456	GO:0008152
sll0456	GO:0005488
sll0456	GO:0003824
sll0456	GO:0050662
sll0459	GO:0006281
sll0459	GO:0009432
sll0459	GO:0006289
sll0459	GO:0005524
sll0459	GO:0003677
sll0459	GO:0009381
sll0459	GO:0004386
sll0459	GO:0016787
sll0459	GO:0004518
sll0459	GO:0003676
sll0459	GO:0005737
sll0459	GO:0009380
sll0459	GO:0016887
sll0461	GO:0008152
sll0461	GO:0055114
sll0461	GO:0006561
sll0461	GO:0050661
sll0461	GO:0004350
sll0461	GO:0016491
sll0461	GO:0005737
sll0461	GO:0055129
sll0467	GO:0008616
sll0467	GO:0016853
sll0467	GO:0016740
sll0467	GO:0002099
sll0467	GO:0005737
sll0467	GO:0051075
sll0469	GO:0044249
sll0469	GO:0009116
sll0469	GO:0009165
sll0469	GO:0009156
sll0469	GO:0000287
sll0469	GO:0004749
sll0469	GO:0002189
sll0469	GO:0005524
sll0469	GO:0005737
sll0469	GO:0006015
sll0469	GO:0006164
sll0469	GO:0016301
sll0471	GO:0008152
sll0471	GO:0005488
sll0471	GO:0003824
sll0471	GO:0008734
sll0471	GO:0009435
sll0474	GO:0018106
sll0474	GO:0016310
sll0474	GO:0006355
sll0474	GO:0007165
sll0474	GO:0000160
sll0474	GO:0016020
sll0474	GO:0005524
sll0474	GO:0004673
sll0474	GO:0004871
sll0474	GO:0016772
sll0474	GO:0000156
sll0474	GO:0000155
sll0474	GO:0005887
sll0474	GO:0009927
sll0474	GO:0046777
sll0477	GO:0006810
sll0477	GO:0016020
sll0477	GO:0008565
sll0477	GO:0005887
sll0477	GO:0017038
sll0478	GO:0006810
sll0478	GO:0016020
sll0478	GO:0005215
sll0478	GO:0005887
sll0478	GO:0015031
sll0478	GO:0022857
sll0479	GO:0006810
sll0479	GO:0016020
sll0479	GO:0005215
sll0479	GO:0005887
sll0479	GO:0015031
sll0479	GO:0022857
sll0480	GO:0009058
sll0480	GO:0003824
sll0480	GO:0030170
sll0480	GO:0016769
sll0480	GO:0010285
sll0480	GO:0033362
sll0484	GO:0005524
sll0484	GO:0016887
sll0484	GO:0017111
sll0484	GO:0000166
sll0484	GO:0005886
sll0484	GO:0022857
sll0484	GO:0055085
sll0485	GO:0006355
sll0485	GO:0000160
sll0485	GO:0000156
sll0486	GO:0048511
sll0489	GO:0005524
sll0489	GO:0016887
sll0489	GO:0017111
sll0489	GO:0000166
sll0493	GO:0008152
sll0493	GO:0006813
sll0493	GO:0005488
sll0493	GO:0003824
sll0493	GO:0008324
sll0496	GO:0016021
sll0496	GO:0015437
sll0496	GO:0015920
sll0496	GO:0043190
sll0499	GO:0005488
sll0502	GO:0006420
sll0502	GO:0006418
sll0502	GO:0006412
sll0502	GO:0005737
sll0502	GO:0005524
sll0502	GO:0004812
sll0502	GO:0004814
sll0502	GO:0000166
sll0503	GO:0005622
sll0503	GO:0005525
sll0503	GO:0002098
sll0503	GO:0005737
sll0503	GO:0005829
sll0503	GO:0016020
sll0503	GO:0030488
sll0504	GO:0009089
sll0504	GO:0003824
sll0504	GO:0008836
sll0504	GO:0030170
sll0506	GO:0016765
sll0506	GO:0000287
sll0506	GO:0002094
sll0506	GO:0016094
sll0507	GO:0006824
sll0507	GO:0015693
sll0507	GO:0030001
sll0507	GO:0055085
sll0507	GO:0016020
sll0507	GO:0015087
sll0507	GO:0015095
sll0507	GO:0046873
sll0507	GO:0000287
sll0507	GO:0005887
sll0507	GO:0050897
sll0509	GO:0003877
sll0509	GO:0005524
sll0509	GO:0003824
sll0509	GO:0009117
sll0513	GO:0009058
sll0513	GO:0016740
sll0514	GO:0016787
sll0517	GO:0003676
sll0517	GO:0000166
sll0517	GO:0003723
sll0519	GO:0055114
sll0519	GO:0016020
sll0519	GO:0009060
sll0519	GO:0016021
sll0519	GO:0016655
sll0519	GO:0019684
sll0519	GO:0042651
sll0519	GO:0048038
sll0520	GO:0055114
sll0520	GO:0016020
sll0520	GO:0051539
sll0520	GO:0008137
sll0520	GO:0009055
sll0520	GO:0051536
sll0520	GO:0016491
sll0520	GO:0016651
sll0520	GO:0005506
sll0520	GO:0019684
sll0520	GO:0042651
sll0520	GO:0048038
sll0521	GO:0055114
sll0521	GO:0008137
sll0521	GO:0016021
sll0521	GO:0048038
sll0528	GO:0006508
